epoch,accuracy_train_before,accuracy_val_before,accuracy_test_before,accuracy_train_after,accuracy_val_after,accuracy_test_after
0,0.0,0.0,22.23320198059082,0.0,0.0,54.743080139160156
1,0.0,0.0,4.591368198394775,0.0,0.0,78.9715347290039
2,0.0,0.0,3.816793918609619,0.0,0.0,89.90670013427734
3,0.0,0.0,38.61017990112305,0.0,0.0,90.67261505126953
4,0.0,0.0,18.644067764282227,0.0,0.0,86.96219635009766
5,0.0,0.0,41.19850158691406,0.0,0.0,82.39700317382812
6,0.0,0.0,30.24691390991211,0.0,0.0,92.74691009521484
7,0.0,0.0,0.1875,0.0,0.0,93.3125
8,0.0,0.0,40.70000076293945,0.0,0.0,94.5
9,0.0,0.0,0.21598272025585175,0.0,0.0,97.84017181396484
10,0.0,0.0,2.009611129760742,0.0,0.0,96.02446746826172
11,0.0,0.0,86.50627899169922,0.0,0.0,96.1820068359375
12,0.0,0.0,1.5988372564315796,0.0,0.0,99.32170867919922
13,0.0,0.0,18.540773391723633,0.0,0.0,93.99141693115234
14,0.0,0.0,85.4223403930664,0.0,0.0,97.41143798828125
15,0.0,0.0,16.188119888305664,0.0,0.0,95.3465347290039
16,0.0,0.0,29.226848602294922,0.0,0.0,95.92182922363281
17,0.0,0.0,85.71428680419922,0.0,0.0,96.67774200439453
18,0.0,0.0,17.17670249938965,0.0,0.0,97.03849792480469
19,0.0,0.0,45.14285659790039,0.0,0.0,97.52381134033203
20,0.0,0.0,23.49448585510254,0.0,0.0,98.0491943359375
21,0.0,0.0,10.942997932434082,0.0,0.0,98.6980972290039
22,0.0,0.0,54.56989288330078,0.0,0.0,98.11827850341797
23,0.0,0.0,66.00181579589844,0.0,0.0,94.832275390625
24,0.0,0.0,84.63227081298828,0.0,0.0,97.69483947753906
25,0.0,0.0,54.06593704223633,0.0,0.0,98.68132019042969
26,0.0,0.0,78.83212280273438,0.0,0.0,99.27007293701172
27,0.0,0.0,10.403726577758789,0.0,0.0,96.8944091796875
28,0.0,0.0,84.4866943359375,0.0,0.0,98.40304565429688
29,0.0,0.0,90.35874938964844,0.0,0.0,96.97309112548828
30,0.0,0.0,96.56311798095703,0.0,0.0,99.73562622070312
31,0.0,0.0,53.31081008911133,0.0,0.0,97.70269775390625
32,0.0,0.0,28.01007652282715,0.0,0.0,98.33753204345703
33,0.0,0.0,80.63241577148438,0.0,0.0,99.20948791503906
34,0.0,0.0,77.69347381591797,0.0,0.0,96.5098648071289
35,0.0,0.0,76.47541046142578,0.0,0.0,95.24590301513672
36,0.0,0.0,73.97260284423828,0.0,0.0,99.17808532714844
37,0.0,0.0,83.71546173095703,0.0,0.0,95.82598114013672
38,0.0,0.0,76.3995590209961,0.0,0.0,97.80461120605469
39,0.0,0.0,89.30131530761719,0.0,0.0,99.34497833251953
40,0.0,0.0,36.358280181884766,0.0,0.0,98.52680969238281
41,0.0,0.0,90.05134582519531,0.0,0.0,99.6790771484375
42,0.0,0.0,50.586856842041016,0.0,0.0,99.843505859375
43,0.0,0.0,81.48148345947266,0.0,0.0,96.29629516601562
44,0.0,0.0,59.096771240234375,0.0,0.0,97.80645751953125
45,0.0,0.0,61.22860336303711,0.0,0.0,96.1732177734375
46,0.0,0.0,86.68919372558594,0.0,0.0,98.51351165771484
47,0.0,0.0,67.16697692871094,0.0,0.0,99.53096008300781
48,0.0,0.0,42.19780349731445,0.0,0.0,96.26373291015625
49,0.0,0.0,73.46666717529297,0.0,0.0,99.46666717529297
50,0.0,0.0,93.24324035644531,0.0,0.0,99.18919372558594
51,0.0,0.0,67.8969955444336,0.0,0.0,98.11158752441406
52,0.0,0.0,62.31050491333008,0.0,0.0,98.17041015625
53,0.0,0.0,73.52458953857422,0.0,0.0,98.52458953857422
54,0.0,0.0,96.21027374267578,0.0,0.0,98.8997573852539
55,0.0,0.0,90.43887329101562,0.0,0.0,97.33541870117188
56,0.0,0.0,83.3001937866211,0.0,0.0,99.33731079101562
57,0.0,0.0,80.07117462158203,0.0,0.0,97.15302276611328
58,0.0,0.0,50.65885925292969,0.0,0.0,99.41435241699219
59,0.0,0.0,68.65990447998047,0.0,0.0,98.7186279296875
60,0.0,0.0,86.0306625366211,0.0,0.0,99.6592788696289
61,0.0,0.0,70.18633270263672,0.0,0.0,99.25465393066406
62,0.0,0.0,93.47581481933594,0.0,0.0,98.76265716552734
63,0.0,0.0,36.85567092895508,0.0,0.0,98.5180435180664
64,0.0,0.0,64.51133728027344,0.0,0.0,98.10478973388672
65,0.0,0.0,93.33333587646484,0.0,0.0,98.75
66,0.0,0.0,98.9664077758789,0.0,0.0,99.22480773925781
67,0.0,0.0,53.968257904052734,0.0,0.0,97.88359832763672
68,0.0,0.0,83.4375,0.0,0.0,98.0
69,0.0,0.0,36.46616744995117,0.0,0.0,99.43609619140625
70,0.0,0.0,74.2103271484375,0.0,0.0,98.3277587890625
71,0.0,0.0,74.00630950927734,0.0,0.0,99.87381744384766
72,0.0,0.0,88.25422668457031,0.0,0.0,98.23008728027344
73,0.0,0.0,96.0177001953125,0.0,0.0,98.67256927490234
74,0.0,0.0,65.75894927978516,0.0,0.0,98.48713684082031
75,0.0,0.0,91.95710754394531,0.0,0.0,100.0
76,0.0,0.0,63.915340423583984,0.0,0.0,97.77777862548828
77,0.0,0.0,82.39910888671875,0.0,0.0,98.2062759399414
78,0.0,0.0,91.5881118774414,0.0,0.0,99.34735107421875
79,0.0,0.0,56.313777923583984,0.0,0.0,99.80867767333984
80,0.0,0.0,94.05684661865234,0.0,0.0,99.48320007324219
81,0.0,0.0,78.17796325683594,0.0,0.0,98.940673828125
82,0.0,0.0,77.314208984375,0.0,0.0,98.43546295166016
83,0.0,0.0,91.65644073486328,0.0,0.0,99.50920104980469
84,0.0,0.0,82.94036102294922,0.0,0.0,99.72260284423828
85,0.0,0.0,97.74305725097656,0.0,0.0,99.13194274902344
86,0.0,0.0,92.9651107788086,0.0,0.0,99.06977081298828
87,0.0,0.0,84.38272094726562,0.0,0.0,99.3827133178711
88,0.0,0.0,76.80000305175781,0.0,0.0,99.73333740234375
89,0.0,0.0,96.51055908203125,0.0,0.0,98.62258911132812
90,0.0,0.0,93.36283111572266,0.0,0.0,99.55752563476562
91,0.0,0.0,95.74003601074219,0.0,0.0,99.78153991699219
92,0.0,0.0,97.0873794555664,0.0,0.0,99.93064880371094
93,0.0,0.0,88.24110412597656,0.0,0.0,98.71541595458984
94,0.0,0.0,91.98347473144531,0.0,0.0,99.58677673339844
95,0.0,0.0,96.38721466064453,0.0,0.0,99.67577362060547
96,0.0,0.0,48.73328399658203,0.0,0.0,99.33145904541016
97,0.0,0.0,55.93220520019531,0.0,0.0,99.74319458007812
98,0.0,0.0,77.01688385009766,0.0,0.0,99.62476348876953
99,0.0,0.0,71.6002197265625,0.0,0.0,99.8907699584961
