epoch,accuracy_train_before,accuracy_val_before,accuracy_test_before,accuracy_train_after,accuracy_val_after,accuracy_test_after
0,0.0,0.0,22.23320198059082,0.0,0.0,54.743080139160156
1,0.0,0.0,4.591368198394775,0.0,0.0,86.3177261352539
2,0.0,0.0,4.664970397949219,0.0,0.0,90.50042724609375
3,0.0,0.0,38.98179244995117,0.0,0.0,91.86176300048828
4,0.0,0.0,43.41590881347656,0.0,0.0,88.78748321533203
5,0.0,0.0,41.19850158691406,0.0,0.0,82.39700317382812
6,0.0,0.0,30.16975212097168,0.0,0.0,93.1327133178711
7,0.0,0.0,0.8125,0.0,0.0,95.125
8,0.0,0.0,40.79999923706055,0.0,0.0,95.70000457763672
9,0.0,0.0,0.323974072933197,0.0,0.0,98.11015319824219
10,0.0,0.0,0.7863695621490479,0.0,0.0,96.85452270507812
11,0.0,0.0,86.5585708618164,0.0,0.0,97.07112884521484
12,0.0,0.0,1.6957365274429321,0.0,0.0,99.6124038696289
13,0.0,0.0,19.05579376220703,0.0,0.0,96.56652069091797
14,0.0,0.0,90.59945678710938,0.0,0.0,97.82015991210938
15,0.0,0.0,17.326732635498047,0.0,0.0,96.03960418701172
16,0.0,0.0,31.26593017578125,0.0,0.0,97.1962661743164
17,0.0,0.0,87.0431900024414,0.0,0.0,97.45293426513672
18,0.0,0.0,17.374135971069336,0.0,0.0,97.82823181152344
19,0.0,0.0,46.476192474365234,0.0,0.0,98.03174591064453
20,0.0,0.0,20.27141571044922,0.0,0.0,98.72772979736328
21,0.0,0.0,11.04855728149414,0.0,0.0,98.8388442993164
22,0.0,0.0,41.6129035949707,0.0,0.0,98.76344299316406
23,0.0,0.0,74.25203704833984,0.0,0.0,96.28286743164062
24,0.0,0.0,89.02305603027344,0.0,0.0,98.13391876220703
25,0.0,0.0,61.978023529052734,0.0,0.0,99.20879364013672
26,0.0,0.0,78.83212280273438,0.0,0.0,98.54014587402344
27,0.0,0.0,38.354034423828125,0.0,0.0,97.98136138916016
28,0.0,0.0,86.00760650634766,0.0,0.0,98.93535614013672
29,0.0,0.0,92.1524658203125,0.0,0.0,97.30941772460938
30,0.0,0.0,96.89359283447266,0.0,0.0,99.73562622070312
31,0.0,0.0,53.17567443847656,0.0,0.0,98.71621704101562
32,0.0,0.0,29.471033096313477,0.0,0.0,98.84130859375
33,0.0,0.0,79.94071197509766,0.0,0.0,99.35770416259766
34,0.0,0.0,77.54173278808594,0.0,0.0,97.1168441772461
35,0.0,0.0,77.54098510742188,0.0,0.0,96.96721649169922
36,0.0,0.0,70.95890808105469,0.0,0.0,99.45205688476562
37,0.0,0.0,83.06877899169922,0.0,0.0,97.17813110351562
38,0.0,0.0,78.59495544433594,0.0,0.0,98.572998046875
39,0.0,0.0,91.26637268066406,0.0,0.0,99.12664031982422
40,0.0,0.0,53.03476333618164,0.0,0.0,99.05715942382812
41,0.0,0.0,87.99742889404297,0.0,0.0,99.74325561523438
42,0.0,0.0,67.37089538574219,0.0,0.0,99.96087646484375
43,0.0,0.0,79.01234436035156,0.0,0.0,100.0
44,0.0,0.0,56.129032135009766,0.0,0.0,98.45161437988281
45,0.0,0.0,61.53071594238281,0.0,0.0,97.28096771240234
46,0.0,0.0,89.39189147949219,0.0,0.0,98.9189224243164
47,0.0,0.0,61.63227081298828,0.0,0.0,99.53096008300781
48,0.0,0.0,43.44322204589844,0.0,0.0,97.80220031738281
49,0.0,0.0,72.0,0.0,0.0,99.5999984741211
50,0.0,0.0,94.59458923339844,0.0,0.0,99.45945739746094
51,0.0,0.0,71.75965881347656,0.0,0.0,98.540771484375
52,0.0,0.0,73.4448471069336,0.0,0.0,98.53633117675781
53,0.0,0.0,75.49180603027344,0.0,0.0,99.09835815429688
54,0.0,0.0,95.72126770019531,0.0,0.0,99.14425659179688
55,0.0,0.0,92.78996276855469,0.0,0.0,97.96238708496094
56,0.0,0.0,81.84227752685547,0.0,0.0,99.13850402832031
57,0.0,0.0,77.58007049560547,0.0,0.0,97.68683624267578
58,0.0,0.0,32.16203308105469,0.0,0.0,99.41435241699219
59,0.0,0.0,71.22264099121094,0.0,0.0,98.8254165649414
60,0.0,0.0,80.0681381225586,0.0,0.0,99.6592788696289
61,0.0,0.0,69.44099426269531,0.0,0.0,99.25465393066406
62,0.0,0.0,94.9381332397461,0.0,0.0,98.98762512207031
63,0.0,0.0,44.58763122558594,0.0,0.0,98.9046401977539
64,0.0,0.0,62.80193328857422,0.0,0.0,98.47640228271484
65,0.0,0.0,95.625,0.0,0.0,99.27083587646484
66,0.0,0.0,99.22480773925781,0.0,0.0,99.6124038696289
67,0.0,0.0,67.8306884765625,0.0,0.0,98.73015594482422
68,0.0,0.0,85.4375,0.0,0.0,98.5625
69,0.0,0.0,42.16791915893555,0.0,0.0,99.81202697753906
