epoch,accuracy_train_before,accuracy_val_before,accuracy_test_before,accuracy_train_after,accuracy_val_after,accuracy_test_after
0,0.0,0.0,22.23320198059082,0.0,0.0,54.743080139160156
1,0.0,0.0,4.591368198394775,0.0,0.0,86.59320831298828
2,0.0,0.0,4.664970397949219,0.0,0.0,90.41561126708984
3,0.0,0.0,37.829803466796875,0.0,0.0,91.5644760131836
4,0.0,0.0,10.430248260498047,0.0,0.0,90.09126281738281
5,0.0,0.0,29.213481903076172,0.0,0.0,81.64794158935547
6,0.0,0.0,17.206789016723633,0.0,0.0,95.06172943115234
7,0.0,0.0,1.0,0.0,0.0,93.6875
8,0.0,0.0,25.299999237060547,0.0,0.0,95.30000305175781
9,0.0,0.0,0.053995680063962936,0.0,0.0,98.11015319824219
10,0.0,0.0,8.082132339477539,0.0,0.0,97.42245483398438
11,0.0,0.0,41.05648422241211,0.0,0.0,98.32636260986328
12,0.0,0.0,2.228682041168213,0.0,0.0,99.5155029296875
13,0.0,0.0,49.6995735168457,0.0,0.0,95.36480712890625
14,0.0,0.0,93.46048736572266,0.0,0.0,97.41143798828125
15,0.0,0.0,22.52475357055664,0.0,0.0,95.74256896972656
16,0.0,0.0,10.280373573303223,0.0,0.0,97.02633666992188
17,0.0,0.0,91.91583251953125,0.0,0.0,98.00664520263672
18,0.0,0.0,14.116485595703125,0.0,0.0,97.23593139648438
19,0.0,0.0,45.96825408935547,0.0,0.0,96.19047546386719
20,0.0,0.0,0.0,0.0,0.0,96.26802062988281
21,0.0,0.0,9.992961883544922,0.0,0.0,98.41661071777344
22,0.0,0.0,81.07527160644531,0.0,0.0,98.2258071899414
23,0.0,0.0,72.25747680664062,0.0,0.0,96.19220733642578
24,0.0,0.0,92.75521850585938,0.0,0.0,96.92646026611328
25,0.0,0.0,59.25274658203125,0.0,0.0,98.72528076171875
26,0.0,0.0,16.78832244873047,0.0,0.0,84.6715316772461
27,0.0,0.0,15.372671127319336,0.0,0.0,91.1490707397461
28,0.0,0.0,72.69961547851562,0.0,0.0,98.02281188964844
29,0.0,0.0,90.35874938964844,0.0,0.0,94.50672912597656
30,0.0,0.0,97.15796661376953,0.0,0.0,99.0746841430664
31,0.0,0.0,67.90541076660156,0.0,0.0,97.70269775390625
32,0.0,0.0,20.251890182495117,0.0,0.0,98.5390396118164
33,0.0,0.0,70.8003921508789,0.0,0.0,97.77667999267578
34,0.0,0.0,36.41881561279297,0.0,0.0,96.20637512207031
35,0.0,0.0,51.31147384643555,0.0,0.0,95.6557388305664
36,0.0,0.0,75.75342559814453,0.0,0.0,98.08219146728516
37,0.0,0.0,86.5373306274414,0.0,0.0,96.64903259277344
38,0.0,0.0,88.69374084472656,0.0,0.0,94.07244873046875
39,0.0,0.0,90.61135864257812,0.0,0.0,97.59825134277344
40,0.0,0.0,67.70771789550781,0.0,0.0,96.75898742675781
41,0.0,0.0,96.79075622558594,0.0,0.0,98.9730453491211
42,0.0,0.0,48.395931243896484,0.0,0.0,99.41314697265625
43,0.0,0.0,82.71604919433594,0.0,0.0,91.35802459716797
44,0.0,0.0,25.419353485107422,0.0,0.0,94.19355010986328
45,0.0,0.0,50.855995178222656,0.0,0.0,94.56193542480469
46,0.0,0.0,70.54054260253906,0.0,0.0,96.35134887695312
47,0.0,0.0,76.45403289794922,0.0,0.0,97.09193420410156
48,0.0,0.0,52.38095474243164,0.0,0.0,97.28937530517578
49,0.0,0.0,73.86666870117188,0.0,0.0,96.80000305175781
50,0.0,0.0,86.21621704101562,0.0,0.0,94.59458923339844
