epoch,accuracy_train_before,accuracy_val_before,accuracy_test_before,accuracy_train_after,accuracy_val_after,accuracy_test_after
0,0.0,0.0,1.8324607610702515,0.0,0.0,92.2774887084961
1,0.0,0.0,10.7421875,0.0,0.0,75.91145324707031
2,0.0,0.0,9.545454025268555,0.0,0.0,68.7012939453125
3,0.0,0.0,52.70935821533203,0.0,0.0,88.58785247802734
4,0.0,0.0,0.22624436020851135,0.0,0.0,91.10105895996094
5,0.0,0.0,46.670005798339844,0.0,0.0,91.78768157958984
6,0.0,0.0,32.075469970703125,0.0,0.0,48.42767333984375
7,0.0,0.0,0.0,0.0,0.0,53.825504302978516
8,0.0,0.0,0.3593890368938446,0.0,0.0,63.97125244140625
9,0.0,0.0,2.25,0.0,0.0,51.75
10,0.0,0.0,0.0,0.0,0.0,79.6346435546875
11,0.0,0.0,0.40040040016174316,0.0,0.0,75.7757797241211
12,0.0,0.0,0.399467408657074,0.0,0.0,56.05858612060547
13,0.0,0.0,0.5442177057266235,0.0,0.0,94.28571319580078
14,0.0,0.0,78.19314575195312,0.0,0.0,85.0467300415039
15,0.0,0.0,38.346458435058594,0.0,0.0,94.4094467163086
16,0.0,0.0,67.56031799316406,0.0,0.0,81.3672866821289
17,0.0,0.0,4.212055206298828,0.0,0.0,61.147422790527344
18,0.0,0.0,0.18744142353534698,0.0,0.0,96.1574478149414
19,0.0,0.0,10.483870506286621,0.0,0.0,91.58985900878906
20,0.0,0.0,14.925373077392578,0.0,0.0,52.98507308959961
21,0.0,0.0,13.242376327514648,0.0,0.0,66.37239074707031
22,0.0,0.0,1.9444445371627808,0.0,0.0,93.6111068725586
23,0.0,0.0,0.7518796920776367,0.0,0.0,80.20050048828125
24,0.0,0.0,24.52651596069336,0.0,0.0,86.74242401123047
25,0.0,0.0,4.8983845710754395,0.0,0.0,77.69671630859375
26,0.0,0.0,4.1891889572143555,0.0,0.0,71.62162017822266
27,0.0,0.0,0.12239902466535568,0.0,0.0,86.90330505371094
28,0.0,0.0,66.28571319580078,0.0,0.0,87.14285278320312
29,0.0,0.0,0.11560693383216858,0.0,0.0,37.45664596557617
30,0.0,0.0,31.303518295288086,0.0,0.0,91.24642944335938
31,0.0,0.0,0.5096839666366577,0.0,0.0,89.19469451904297
32,0.0,0.0,28.29525375366211,0.0,0.0,65.7293472290039
33,0.0,0.0,8.004158020019531,0.0,0.0,51.247398376464844
34,0.0,0.0,6.179775238037109,0.0,0.0,79.07303619384766
35,0.0,0.0,0.12239902466535568,0.0,0.0,95.77722930908203
36,0.0,0.0,1.0909091234207153,0.0,0.0,96.42424011230469
37,0.0,0.0,29.274612426757812,0.0,0.0,91.45077514648438
38,0.0,0.0,7.57575798034668,0.0,0.0,85.51136016845703
39,0.0,0.0,18.983051300048828,0.0,0.0,75.7966079711914
40,0.0,0.0,21.564245223999023,0.0,0.0,78.77095031738281
41,0.0,0.0,28.36710548400879,0.0,0.0,77.71156311035156
42,0.0,0.0,42.156864166259766,0.0,0.0,55.7932243347168
43,0.0,0.0,32.263328552246094,0.0,0.0,80.03264617919922
44,0.0,0.0,57.3863639831543,0.0,0.0,93.42533111572266
45,0.0,0.0,1.39616060256958,0.0,0.0,86.3874282836914
46,0.0,0.0,24.10805320739746,0.0,0.0,90.01019287109375
47,0.0,0.0,1.7094018459320068,0.0,0.0,91.45299530029297
48,0.0,0.0,10.359034538269043,0.0,0.0,93.76103973388672
49,0.0,0.0,17.421260833740234,0.0,0.0,90.25590515136719
50,0.0,0.0,5.633802890777588,0.0,0.0,65.82975769042969
51,0.0,0.0,9.93197250366211,0.0,0.0,93.74149322509766
52,0.0,0.0,0.13831259310245514,0.0,0.0,95.02074432373047
53,0.0,0.0,2.7131783962249756,0.0,0.0,92.34496307373047
54,0.0,0.0,0.4754357933998108,0.0,0.0,58.478607177734375
55,0.0,0.0,7.2884016036987305,0.0,0.0,58.15047073364258
56,0.0,0.0,15.961305618286133,0.0,0.0,81.7412338256836
57,0.0,0.0,27.766395568847656,0.0,0.0,53.68852615356445
58,0.0,0.0,42.31227493286133,0.0,0.0,50.41716003417969
59,0.0,0.0,1.8072288036346436,0.0,0.0,86.74699401855469
60,0.0,0.0,2.0600860118865967,0.0,0.0,76.4806900024414
61,0.0,0.0,4.2402825355529785,0.0,0.0,92.81507873535156
62,0.0,0.0,9.514925956726074,0.0,0.0,90.29850769042969
63,0.0,0.0,7.946553707122803,0.0,0.0,67.65119171142578
64,0.0,0.0,37.43842315673828,0.0,0.0,89.90147399902344
